MARCA,CODIGO,PRODUCTO,UXC,PRECIO UNIDAD,PRECIO CAJA
PACAS,30-04,CAFE MOLIDO PACAS 340 GR 12X1,12,7.68,92.16
PACAS,30-05,CAFE MOLIDO VIVAGUA 340 GR 16X1,16,4.09,65.44
PACAS,30-06,CAFE MOLIDO AMANECER 340 GR 16X1,16,2.75,44
BACANO,50-01,CAFE BACANO CLÁSICO GRANULADO 100GR 24X1,24,3.5,84
NUTRIZ,NZ10-01,CHILOSO ROJO 14 OZ 24X1,24,1.1,26.4
NUTRIZ,NZ10-02,CHILOSO VERDE 14 OZ 24X1,24,1.1,26.4
NUTRIZ,NZ10-03,GALON SALSA DE TOMATE 5X1,5,2.63,13.12
NUTRIZ,NZ10-04,GALON SALSA TIPO PERRINS 5X1,5,2.63,13.12
NUTRIZ,NZ10-05,GALON SALSA PICANTE 5X1,5,2.5,12.5
NUTRIZ,NZ10-06,GALON MAYONESA 5X1,5,5.44,27.19
NUTRIZ,NZ10-07,GALON MOSTAZA 5X1,5,2.75,13.75
NUTRIZ,NZ10-08,1/2 GALON SALSA DE TOMATE,10,1.35,13.5
NUTRIZ,NZ10-09,1/2 GALON SALSA TIPO PERRINS,10,1.35,13.5
NUTRIZ,NZ10-10,1/2 GALON SALSA PICANTE,10,1.3,13
NUTRIZ,NZ10-11,1/2 GALON MAYONESA 10X1,10,2.75,27.5
NUTRIZ,NZ10-12,1/2 GALON MOSTAZA 10X1,10,1.53,15.3
NUTRIZ,NZ10-13,BOLSA 725GR SALSA DE TOMATE NUTRIZ 1X25,25,0.48,12
NUTRIZ,NZ10-14,BOLSA 725GR SALSA PICANTE NUTRIZ 1X25,25,0.48,12
NUTRIZ,NZ10-15,BOLSA 725GR SALSA TIPO PERRINS NUTRIZ 1X25,25,0.48,12
NUTRIZ,NZ10-19,MAYONESA CHIPUSTE 340GR,50,0.5,25
NUTRIZ,NZ10-20,KETCHUP CHIPUSTE 340GR 50X1,50,0.26,13
NUTRIZ,NZ10-21,SALSA NEGRA CHIPUSTE 340GR,50,0.26,13
NUTRIZ,NZ10-22,CHILE CHIPUSTE 340 GR,50,0.26,13
NUTRIZ,NZ10-23,MOSTAZA CHIPUSTE 340 GR,50,0.29,14.69
NUTRIZ,NZ10-49,ESENCIA DE FRESA 32OZ 16X1,16,0.85,13.6
NUTRIZ,NZ10-50,ESENCIA DE PIÑA 32OZ 16X1,16,0.85,13.6
NUTRIZ,NZ10-51,ESENCIA DE VAINILLA 32OZ 16X1,16,0.85,13.6
NUTRIZ,NZ10-52,ESENCIA DE UVA 32OZ 16X1,16,0.85,13.6
NUTRIZ,NZ10-53,ESENCIA DE COCO 32OZ 16X1,16,0.85,13.6
NUTRIZ,NZ10-54,ESENCIA DE CHICLE 32OZ 16X1,16,0.85,13.6
NUTRIZ,NZ10-55,ESENCIA DE MENTA 32OZ 16X1,16,0.85,13.6
NUTRIZ,NZ10-27,SALSA NEGRA BOTE PICO 32OZ 15X1,15,1,15
NUTRIZ,NZ10-28,SALSA PICANTE BOTE PICO 32OZ 15X1,15,1,15
MACRID,91-01,CHAMOY TAMARINDO 500ML 24X1,24,2.75,66
MACRID,91-02,CHAMOY TAMARINDO 240ML 18X1,18,1.45,26.1
MEGA,CS-01,CHAMOY MEGA ORIGINAL 500GR 24X1,24,2.4,57.6
MEGA,CS-02,CHAMOY MEGA ORIGINAL 1GAL(3785ML) 6X1,6,13.65,81.9
MERA MERA,CS-03,CHAMOY MERAMERA ESCARCHA 430ML 8X1,8,2.57,20.56
BOTANERA,CS-04,SALSA BOTANERA CLASICA 500GR 24X1,24,1.96,47.04
BOTANERA,CS-05,CHILE EN POLVO CHILITO BOTANERA 170GR 12X1,12,2.5,30
HAPPY DOG,TEC-01,HAPPY DOG ADULTO 1X10 LBS 10+2,12,0.55,6.65
HAPPY DOG,TEC-02,HAPPY DOG ADULTO 1X44 LBS,1,21.5,21.5
FELINO,TEC-04,F-LINO COMIDA P/GATO 8KG 1X1,1,12,12
KUALI,KU-01,AGUA NATURAL KUALI PET 500ML 1X12,12,0.4,4.84
UNICHEMICAL,U100-01,DESINFECTANTE UNICHEMICAL PINO 900ML 12X1,12,0.75,9
UNICHEMICAL,U100-02,DESINFECTANTE UNICHEMICAL LAVANDA 900ML 12X1,12,0.75,9
UNICHEMICAL,U100-03,DESINFECTANTE UNICHEMICAL MANZANA 900ML 12X1,12,0.75,9
UNICHEMICAL,U100-04,DESINFECTANTE UNICHEMICAL CANELA 900ML 12X1,12,0.75,9
UNICHEMICAL,U100-05,DESINFECTANTE UNICHEMICAL FANTASIA 900ML 12X1,12,0.75,9
UNICHEMICAL,U100-06,DESINFECTANTE UNICHEMICAL LIMON 900ML 12X1,12,0.75,9
UNICHEMICAL,U100-07,DESINFECTANTE UNICHEMICAL PINO 1 GAL 4X1,4,2.6,10.4
UNICHEMICAL,U100-08,DESINFECTANTE UNICHEMICAL LAVANDA 1GAL 4X1,4,2.6,10.4
UNICHEMICAL,U100-09,DESINFECTANTE UNICHEMICAL MANZANA 1GAL 4X1,4,2.6,10.4
UNICHEMICAL,U100-10,DESINFECTANTE UNICHEMICAL CANELA 1GAL 4X1,4,2.6,10.4
UNICHEMICAL,U100-11,DESINFECTANTE UNICHEMICAL LIMON 1GAL 4X1,4,2.6,10.4
UNICHEMICAL,U100-12,JABON MANOS UNICHEMICAL SANDIA 500ML 12X1,12,0.89,10.68
UNICHEMICAL,U100-13,JABON MANOS UNICHEMICAL FLORAL 500ML 12X1,12,0.89,10.68
UNICHEMICAL,U100-14,JABON MANOS UNICHEMICAL CITRICOS 500ML 12X1,12,0.89,10.68
UNICHEMICAL,U100-15,JABON MANOS UNICHEMICAL MANZANA V. 500ML 12X1,12,0.89,10.68
UNICHEMICAL,U100-16,JABON MANOS UNICHEMICAL NEUTRO 1GAL 4X1,4,4.28,17.12
UNICHEMICAL,U100-17,LAVAPLATO ULTRAGRASS LIMON 500ML 1X12,12,0.92,11.04
UNICHEMICAL,U100-18,LEJIA AGRADA 220ML FARDO 6X12,1,5,5
UNICHEMICAL,U100-19,DETERGENTE LIQUIDO UNICHEMICAL PRIMAVERA 5L 1X1,1,4.34,4.34
UNICHEMICAL,U100-19C,DETERGENTE LIQUIDO UNICHEMICAL 5L CAJA 4X1,4,4.75,19
UNICHEMICAL,U100-20,REPELENTE MOSCAS Y ZANC UNICHEMICAL 700ML 12X1,12,1.96,23.52
UNICHEMICAL,U100-21,ELIMINADOR INSECTOS RASTR UNICHEMICAL 700ML 12X1,12,1.96,23.52
UNICHEMICAL,U100-22,REPELENTE MOSCAS Y ZANC UNICHEMICAL 1GAL 4X1,4,4.99,19.96
UNICHEMICAL,U100-23,LIMPIAVIDRIOS UNICHEMICAL 1GAL 4X1,4,3.25,13
UNICHEMICAL,U100-24,LIMPIAVIDRIOS UNICHEMICAL 700ML 12X1,12,1.74,20.88
EL JABALI,EJ100-01,SALSA PARILLERA EL JABALI 6.5 OZ 24X1,24,1.2,28.8
EL JABALI,EJ100-02,SALSA PARILLERA EL JABALI 16 OZ 12X1,12,3,36
EL JABALI,EJ100-03,SALSA PARILLERA EL JABALI 1/2 GAL 8X1,8,11.75,94
EL JABALI,EJ100-04,SALSA PARILLERA EL JABALI 1GAL 4X1,4,22,88
SAMARITANA,SV100-01,ALBOROTO SAMARITANA BOLSA 170G 1X12,12,1.91,22.92
SAMARITANA,SV100-02,DULC DE PANE GRANULADO BOLSA 454G 1X12,12,2.09,25.08
SAMARITANA,SV100-03,DULCE DE PANELA UNIDAD 680G 1X12,12,2.23,26.76
SAMARITANA,SV100-04,TUSTACA SAMARITANA BOLSA 142G 1X12,12,1.97,23.64
SAMARITANA,SV100-05,PANCAKE MIX SAMARITANA NATURAL 454G 1X12,12,1.88,22.56
SAMARITANA,SV100-06,PANCAKE MIX SAMARITANA VAINILLA 454G 1X12,12,1.88,22.56
SAMARITANA,SV100-07,PANCAKE MIX SAMARITANA MANTEQUILLA 454G 1X12,12,1.88,22.56
SAMARITANA,SV100-09,PANCAKE INSTANTANEO SAMARITANA 454G 1X12,12,2.18,26.16
SAMARITANA,SV100-10,SEMITA DE PIÑA SAMARITANA 340G 1X12,12,2.79,33.48
SAMARITANA,SV100-11,SEMITA GUAYABA SAMARITANA 340G 1X12,12,2.79,33.48
SAMARITANA,SV100-12,TAMARINDO PELADO SAMARITANA BOLSA 454G 1X12,12,3.54,42.48
SAMARITANA,SV100-13,TOTOPOSTE SAMARITANA BOLSA 142 g,12,1.88,22.56
SAMARITANA,SV100-14,CHAOMEIN SAMARITANA CAJA 100G 1X24,24,0.63,15.12
SAMARITANA,SV100-15,CHAOMEIN SAMARITANA CAJA 180G 1X22,22,1.05,23.1
SAMARITANA,SV100-16,CHAOMEIN SAMARITANA BOLSA 180G 1X24,24,0.98,23.52
SAMARITANA,SV100-17,CHAOMEIN SAMARITANA CAJA 340G 1X14,14,1.66,23.24
SAMARITANA,SV100-18,EMPANIZADOR SAMARITANA 1LB BOLSA 1X12,12,1.88,22.56
SAMARITANA,SV100-19,CHILE GALLO BRAVO 5OZ 1X24,24,1,24
SAMARITANA,SV100-20,CHILE GALLO BRAVO 14OZ 1X24,24,1.65,39.6
SAMARITANA,SV100-21,CHILE GALLO BRAVO 15OZ 1X18,18,1.79,32.22
SAMARITANA,SV100-22,SALSA AJO & PEREJIL 14OZ 1X24,24,1.94,46.56
SAMARITANA,SV100-23,SALSA INGLESA SAMARITANA 5OZ 1X24,24,0.89,21.36
SAMARITANA,SV100-24,SALSA INGLESA  SAMARITANA 14OZ 1X24,24,1.37,32.88
SAMARITANA,SV100-25,SALSA INGLESA SAMARITANA 1GAL 1X3,3,6.2,18.6
SAMARITANA,SV100-26,SALSA SOYA SAMARITANA 5OZ 1X24,24,0.89,21.36
SAMARITANA,SV100-27,SALSA SOYA SAMARITANA 14OZ 1X24,24,1.45,34.8
SAMARITANA,SV100-28,SALSA SOYA SAMARITANA 1GAL 1X3,3,7.85,23.55
SAMARITANA,SV100-29,SALSA PARRILLERA SAMARITANA 14OZ 1X24,24,1.94,46.56
SAMARITANA,SV100-30,ACHIOTE BOLSA POLI 454G 1X12,12,1.86,22.32
SAMARITANA,SV100-31,FÉCULA DE MAÍZ 454G (BOLSA POLI) 1X12,12,1.99,23.88
SAMARITANA,SV100-311,FÉCULA DE MAÍZ BANANO 454G (BOLSA POLI) 1X12,12,2.15,25.8
SAMARITANA,SV100-312,FÉCULA DE MAÍZ VAINILLA 454G (BOLSA POLI) 1X12,12,2.15,25.8
SAMARITANA,SV100-313,FÉCULA DE MAÍZ FRESA 454G (BOLSA POLI) 1X12,12,2.15,25.8
SAMARITANA,SV100-32,FÉCULA DE MAÍZ NATURAL 85G CAJITA 1X24,24,0.89,21.36
SAMARITANA,SV100-33,FÉCULA DE MAÍZ BANANO 85G CAJITA 1X24,24,0.89,21.36
SAMARITANA,SV100-34,FÉCULA DE MAÍZ VAINILLA 85G CAJITA 1X24,24,0.89,21.36
SAMARITANA,SV100-35,FÉCULA DE MAÍZ FRESA 85G CAJITA 1X24,24,0.89,21.36
WESSON,WP100-00,WESSON CANOLA OIL 24 OZ 1X12,12,4.73,56.76
WESSON,WP100-01,WESSON CANOLA OIL 40 oz,9,7.18,64.62
WESSON,WP100-02,WESSON CANOLA OIL 64 OZ,9,11.32,101.88
WESSON,WP100-023,WESSON CANOLA OIL 128 OZ 1X4,4,21.58,86.32
COUNTRY,WP100-03,COUNTRY BARN MANTEQUILLA DE MANI GRUESA  18 OZ,12,3.64,43.68
COUNTRY,WP100-04,COUNTRY BARN MANTEQUILLA DE MANI CREMOSA  18 OZ,12,3.64,43.68
COUNTRY,WP100-05,COUNTRY BARN JUGO DE ARANDANO 32 OZ,12,2.82,33.84
COUNTRY,WP100-06,COUNTRY BARN JUGO DE MANZANA 64 OZ,8,4.01,32.08
COUNTRY,WP100-07,COUNTRY BARN JUGO DE UVA 64 OZ,8,6.74,53.92
COUNTRY,WP100-08,COUNTRY BARN AGUA DE COCO 17.6 OZ,24,2.27,54.48
COUNTRY,WP100-09,FILTROS PARA CAFÉ 200 CT,24,2.54,60.96
WESSON,WP100-10,PLATINUM PAPEL ALUMINIO 25 FT,35,1.68,58.8
WESSON,WP100-11,PLATINUM PAPEL ALUMINIO 37.5 FT,35,2.45,85.75
WESSON,WP100-13,HANDI FOIL BANDEJA ALUMINIO 100 CT,100,1.3,130
WESSON,WP100-14,BANDEJA ALUMINIO  PARA LASAÑA 100 CT,100,1.26,126
WESSON,WP100-15,ALMIDON EN SPRAY NIAGARA ORIGINAL 20 OZ 1X12,12,3.33,39.96
DEL PINO,DP100-01,HARINA DE ARROZ SUPER PREMIUM DEL PINO 11KG,1,9,9
DEL PINO,DP100-02,HARINA DE ARROZ SUPER PREMIUM DEL PINO 1QQ,1,36,36
KING COTTON,KC100-01,SERVILLETA KING COTTON EXPRESS 10X1X100GR,1,4,4
KING COTTON,KC100-02,SERVILLETA KING COTTON 10X1X100UND,1,4.72,4.72
KING COTTON,KC100-03,PAPEL HIG. 400M JUMBO ROLL KING COTTON 1H 6X1,6,2.2,13.2
KING COTTON,KC100-04,TOALLA EXTENDER ROLL KING COTTON 210M 6X1,6,8.16,48.99
KING COTTON,KC100-05,TOALLA INTERDOBLADA WHITE COTTON 250U 16X1,16,2.83,45.2
LOS LIRIOS,LR100-01,PASTA DE HORCHATA DE MANI LOS LIRIOS 340GR 1X12,12,3.75,45
LOS LIRIOS,LR100-02,MANTEQUILLA DE MANI LOS LIRIOS 283GR 1X12,12,3.75,45
INCOGUA,IN100-01,SHAMPOO TROPIC 2 EN 1 COLA DE CABALLO 1000ML 1X12,12,2.42,29
INCOGUA,IN100-02,SHAMPOO TROPIC 2 EN 1 MANZANILLA Y MIEL 1000ML 1X12,12,2.42,29
INCOGUA,IN100-03,SHAMPOO TROPIC 2 EN 1 AGUACATE Y BERRO 1000ML 1X12,12,2.42,29
INCOGUA,IN100-04,SHAMPOO TROPIC 2 EN 1 COCO Y ALOE VERA 1000ML 1X12,12,2.42,29
INCOGUA,IN100-05,SHAMPOO TROPIC 2 EN 1 KERATINA 1000ML 1X12,12,2.42,29
INCOGUA,IN100-06,SHAMPOO TROPIC 2 EN 1 ANTI CASPA CONTROL CAIDA 1000ML 1X12,12,2.58,30.97
INCOGUA,IN100-07,SHAMPOO TROPIC 2 EN 1 ANTI CASPA CARBÓN ACTIVADO 1000ML 1X12,12,2.58,30.97
INCOGUA,IN100-08,SHAMPOO BABY ESSENCES VITAMINA E Y ALOE FRESH 440ML 1X30,30,1.71,51.16
INCOGUA,IN100-09,SHAMPOO BABY ESSENCES MANZANILLA Y MIEL 440 ML 1X30,30,1.71,51.16
INCOGUA,IN100-10,SHAMPOO BABY ESSENCES PROTEINAS DE SEDA Y ARGAN 440ML 1X30,30,1.71,51.16
INCOGUA,IN100-12,CREMA MILK ALOE FRESH Y PEPINO 500ML 1X30,30,1.85,55.64
INCOGUA,IN100-13,CREMA MILK LECHE Y COCO 500ML 1X30,30,1.85,55.64
INCOGUA,IN100-14,CREMA MILK ACEITE DE OLIVA Y COLAGENO 1000ML 1X12,12,4.13,49.5
INCOGUA,IN100-15,CREMA MILK AVENA Y MIEL 1000ML 1X12,12,4.13,49.5
INCOGUA,IN100-16,CREMA VANNY FACIAL CONCHA DE NACAR 145GRS 1X24,24,1.31,31.33
INCOGUA,IN100-17,CREMA VANNY FACIAL HIDRATANTE ACLARADORA 145GRS 1X24,24,1.31,31.33
INCOGUA,IN100-18,CREMA VANNY FACIAL HUMECTANTE ANTI ARRUGAS 145GRS 1X24,24,1.31,31.33
INCOGUA,IN100-19,CREMA VANNY FACIAL NUTRITUVA LIMPIADORA 145GRS 1X24,24,1.31,31.33
